index,album,entity_album,singer,identity,digit_date,price2,price,song_number,sales_volumn,total-sale,digit_album_img,entity_album_date,diff,entity-platform,entity_price,entity_type,entity_img,entity_thing,singer-img
60,Youth 度,Youth 度,VOGUE 5,乐队,2019/4/12,4.0,4.0,2,30035,120140.0,https://p2.music.126.net/-rGueM2tlXS10R7jdUfD4Q==/109951163984630698.jpg?param=140y140,,,,,,,,https://p2.music.126.net/36cEd4fGh-x1NO09ibDYZQ==/109951167725210333.jpg
61,X玖,X玖,X玖少年团,组合,2016/9/24,5.0,5.0,4,320439,1602195.0,https://y.qq.com/music/photo_new/T002R300x300M000001r2Cdb1nbFbv_1.jpg?max_age=2592000,,,,,,https://y.qq.com/music/photo_new/T002R300x300M000002aVMdw29VRaO_2.jpg?max_age=2592000,,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000
62,Keep Online NO版,Keep Online,X玖少年团,组合,2018/5/9,10.0,18.0,4,266205,2676154.0,https://y.qq.com/music/photo_new/T002R300x300M0000009NbmJ1egERM_1.jpg?max_age=2592000,2018/12/3,208.0,Owhat,159.0,USB,https://y.qq.com/music/photo_new/T002R300x300M0000009NbmJ1egERM_1.jpg?max_age=2592000,写真集/海报/采访册子/小卡,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000
63,Keep Online YES版,Keep Online YES版,X玖少年团,组合,2018/2/14,8.0,8.0,4,174197,1416081.0,https://y.qq.com/music/photo_new/T002R300x300M000002aVMdw29VRaO_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000
64,与我无关,与我无关,阿冗,大陆歌手,2020/1/2,1.0,1.0,1,312570,312570.0,https://p1.music.126.net/x-jReyGkM5OTKUEtTqXGoA==/109951164597332931.jpg?param=140y140,,,,,,,,https://p1.music.126.net/5mbCauWYUaHLNqd5t2l6kA==/109951166107573718.jpg
65,不朽的?THE ART,不朽的?THE ART,阿云嘎,大陆歌手,2020/7/23,20.0,20.0,10,417700,8354000.0,https://y.qq.com/music/photo_new/T002R300x300M000003BfrXL2wgVBU_3.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000t1B6X1OCGos_6.jpg?max_age=2592000
66,我说，你听,我说，你听,安九,大陆歌手,2020/4/15,8.0,8.0,8,963,8492.0,https://y.qq.com/music/photo_new/T002R300x300M000001f1iat1fy7XD_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001xunhv4L0KC2_5.jpg?max_age=2592000
67,9522,9522,安溥 anpu,台湾歌手,2022/10/28,30.0,30.0,16,37456,1123680.0,https://y.qq.com/music/photo_new/T002R300x300M000004V8wTO0u5PFv_2.jpg?max_age=2592000,2022/12/19,52.0,五大唱片/博客来/佳佳,131.6,CD,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/80/0020228076.jpg&v=6305dbe9k&w=348&h=348,书签/歌词,https://y.qq.com/music/photo_new/T001R300x300M000003v4gMz10uqEL_4.jpg?max_age=2592000
68,漂浮宇宙,漂浮宇宙,白鹿,其他,2022/5/26,3.0,3.0,1,35620,106860.0,https://y.qq.com/music/photo_new/T002R300x300M000000OiAIq2auRa9_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KW00l2Kg9hu_5.jpg?max_age=2592000
69,如果,如果,毕雯珺,组合成员,2019/11/21,3.0,3.0,1,591631,1774893.0,https://y.qq.com/music/photo_new/T002R300x300M000000Fz4Hl2ZLhSQ_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000
